Seller,Shipper,Condition,Price,Delivery,Fastest Delivery,Seller Page,Product Name,Product Category 1,Product Category 2,Timestamp,Merchant ID,ASIN,Seller Profile,Positive 30 days,Positive 90 days,Positive 12 months,Lifetime,Total ratings,Buy Box Placement
Amazon.com,Amazon.com,New,$22.90,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details",Fastest delivery: Tomorrow Order within 19 mins Details,None,"SanDisk 128GB Extreme MicroSDXC UHS-I Memory Card with Adapter - C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",Electronics,Accessories & Supplies,2021-06-24 20:40:53,Amazon.com,B07FCMKK5X,,,,,,,True
CalvinNHobbs,CalvinNHobbs,New,$22.79,FREE delivery: June 30 - July 7,Fastest delivery: June 28 - 30,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A2NDNAPHQ3UDKH&isAmazonFulfilled=0&asin=B07FCMKK5X&ref_=olp_merch_name_2,"SanDisk 128GB Extreme MicroSDXC UHS-I Memory Card with Adapter - C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",Electronics,Accessories & Supplies,2021-06-24 20:40:53,A2NDNAPHQ3UDKH,B07FCMKK5X,"Blazing Trade, Inc 1445 E Los Angeles Ave Suite 101 Simi Valley CA 93065 US",98%,98%,97%,98%,"38,616",False
Low_Price_Memory,Amazon.com,New,$22.90,FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping July 6 - 9 on orders over $25.00 shipped by Amazon. Details,Fastest delivery: June 29 - 30,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A1RXN5VZ2QVAZL&isAmazonFulfilled=1&asin=B07FCMKK5X&ref_=olp_merch_name_3,"SanDisk 128GB Extreme MicroSDXC UHS-I Memory Card with Adapter - C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",Electronics,Accessories & Supplies,2021-06-24 20:40:53,A1RXN5VZ2QVAZL,B07FCMKK5X,Low Price Memory Ltd Unit 1 La Chasse Lane rue de la Vallee St Mary Jersey JE3 3DL GB,100%,93%,91%,92%,"2,102",False
SSE Photo & Video,SSE Photo & Video,New,$23.19,FREE delivery: June 30 - July 2,,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A36VT43W2I07N0&isAmazonFulfilled=0&asin=B07FCMKK5X&ref_=olp_merch_name_4,"SanDisk 128GB Extreme MicroSDXC UHS-I Memory Card with Adapter - C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",Electronics,Accessories & Supplies,2021-06-24 20:40:53,A36VT43W2I07N0,B07FCMKK5X,big easy cameras llc 40 Montgomery St Hillside NJ 07205 US,82%,87%,83%,95%,"35,406",False
SHAHAR,SHAHAR,New,$23.20,FREE delivery: July 1 - 7,,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=AKL94KIULI9Y7&isAmazonFulfilled=0&asin=B07FCMKK5X&ref_=olp_merch_name_5,"SanDisk 128GB Extreme MicroSDXC UHS-I Memory Card with Adapter - C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",Electronics,Accessories & Supplies,2021-06-24 20:40:53,AKL94KIULI9Y7,B07FCMKK5X,asher shahar 20120 ne 10th place MIAMI FL 33179 US,100%,100%,99%,96%,"6,905",False
PERSONAL&ACCESSORIES,Amazon.com,New,$23.29,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Monday, June 28 Order within 3 hrs and 19 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A2FXE2EUG9D4W6&isAmazonFulfilled=1&asin=B07FCMKK5X&ref_=olp_merch_name_6,"SanDisk 128GB Extreme MicroSDXC UHS-I Memory Card with Adapter - C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",Electronics,Accessories & Supplies,2021-06-24 20:40:53,A2FXE2EUG9D4W6,B07FCMKK5X,A&amp;B Housewares Inc. 833 WILLIAMS AVE BROOKLYN NY 11207-7614 US,100%,100%,98%,97%,"25,130",False
MemoryWhiz,Amazon.com,New,$23.97,"FREE delivery: Get free shipping Free 5-8 day shipping within the U.S. when you order $25.00 of eligible items sold or fulfilled by Amazon. Or get 4-5 business-day shipping on this item for $5.99 . (Prices may vary for AK and HI.) Learn more about free shipping Wednesday, June 30 on orders over $25.00 shipped by Amazon. Details","Fastest delivery: Sunday, June 27 Order within 3 hrs and 19 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A02211013Q5HP3OMSZC7W&isAmazonFulfilled=1&asin=B07FCMKK5X&ref_=olp_merch_name_7,"SanDisk 128GB Extreme MicroSDXC UHS-I Memory Card with Adapter - C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",Electronics,Accessories & Supplies,2021-06-24 20:40:53,A02211013Q5HP3OMSZC7W,B07FCMKK5X,Alast Corporation 20651 Golden Springs Drive #111 Walnut CA 91789 US,98%,99%,99%,99%,"44,240",False
RS Enterprises,Amazon.com,New,$25.79,"FREE delivery: Wednesday, June 30 Details","Fastest delivery: Sunday, June 27 Order within 3 hrs and 19 mins Details",https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A1PW9837098U4T&isAmazonFulfilled=1&asin=B07FCMKK5X&ref_=olp_merch_name_8,"SanDisk 128GB Extreme MicroSDXC UHS-I Memory Card with Adapter - C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",Electronics,Accessories & Supplies,2021-06-24 20:40:53,A1PW9837098U4T,B07FCMKK5X,"RS Enterprises USA Inc 8295 Tournament Dr.,Suite 150 Memphis TN 38125 US",98%,100%,100%,100%,"15,499",False
ToolsoftheTrade   Just launched,ToolsoftheTrade,New,$22.75,$3.45 delivery: June 29 - July 2,,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A22S365JC2AE25&isAmazonFulfilled=0&asin=B07FCMKK5X&ref_=olp_merch_name_9,"SanDisk 128GB Extreme MicroSDXC UHS-I Memory Card with Adapter - C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",Electronics,Accessories & Supplies,2021-06-24 20:40:53,A22S365JC2AE25,B07FCMKK5X,Nathan M Fischbach 2215 SAINT JOSEPHS CT BRENTWOOD TN 37027 US,,,,,,False
MemoryMarket,MemoryMarket,New,$27.76,FREE delivery: July 1 - 7,Fastest delivery: June 30 - July 1,https://www.amazon.com/gp/aag/main?ie=UTF8&seller=A1BAB71WEAH6D9&isAmazonFulfilled=0&asin=B07FCMKK5X&ref_=olp_merch_name_10,"SanDisk 128GB Extreme MicroSDXC UHS-I Memory Card with Adapter - C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",Electronics,Accessories & Supplies,2021-06-24 20:40:53,A1BAB71WEAH6D9,B07FCMKK5X,"HKG Trading Group, Inc. 3592 Rosemead Blvd #512 Rosemead CA 91770 US",100%,98%,97%,97%,"76,585",False
